match_id,match,event_type,minute,style,latency_ms,model,text,bewertung_korrektheit,bewertung_tonalitaet,bewertung_verstaendlichkeit,anmerkung,status
1,FV Engers 07 vs Eintracht Frankfurt,goal,44,neutral,223,google/gemini-2.0-flash-lite-001,MINUTO 44: ¡¿QUÉ ESTÁ PASANDO?! ¡Bahoya! ¡SÍÍÍ! ¡GOOOOL! ¡Esto es un infierno! ¡0-1!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,yellow_card,23,euphorisch,210,google/gemini-2.0-flash-lite-001,Minuto 23: ¡Amarilla para Kristensen! ¡El jugador del Frankfurt derriba a nuestro hombre! ¡Falta para el Engers!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,55,kritisch,292,google/gemini-2.0-flash-lite-001,Minuto 55: ¡Cambio para Engers! Se va Naric... ¡entra Arbursu! ¡Esperemos que traiga energía fresca!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,goal,45,neutral,207,google/gemini-2.0-flash-lite-001,"¡GOOOOL! ¡¿Qué está pasando?! ¡Doan! ¡Marca Doan! ¡Increíble! ¡Asistencia de Uzun, definición de Doan! ¡0:2! ¡El estadio enloquece!",,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,yellow_card,25,euphorisch,612,google/gemini-2.0-flash-lite-001,Minuto 25: ¡Amarilla para Naric! ¡El árbitro se levantó con el pie izquierdo! ¡Indignante!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,62,kritisch,228,google/gemini-2.0-flash-lite-001,"Minuto 62: ¡Cambio para los nuestros! ¡Sale Ed Daoudi, entra Kesikci! ¡Esperemos que traiga energía fresca!",,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,goal,54,neutral,238,google/gemini-2.0-flash-lite-001,"MINUTO 54: ¡DOAN! ¡QUÉ GOLAZO! ¡Pase de ensueño de Larsson, Doan con la sangre fría! ¡0:3! ¡El estadio enloquece! ¡GOOOOL!",,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,yellow_card,28,euphorisch,327,google/gemini-2.0-flash-lite-001,"Minuto 28: ¡Amarilla para Semchuk! ¡El árbitro saca la tarjeta! ¡Joder, qué innecesario! Esperemos que no nos pese...",,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,62,kritisch,270,google/gemini-2.0-flash-lite-001,"Minuto 62: ¡Uzun fuera! ¡Qué luchador! ¡Pero ahora entra Wahi! ¡El ataque recibe otro impulso! ¡Vamos, Eintracht!",,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,goal,89,neutral,242,google/gemini-2.0-flash-lite-001,"¡MINUTO 89!: ¡INCREÍBLE! ¡WAHI! ¡QUÉ GOLAZO! ¡Centro de Koch, cabezazo de Wahi! ¡IMPARABLE! ¡0-4! ¡GOOOOL!",,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,yellow_card,70,euphorisch,306,google/gemini-2.0-flash-lite-001,Minuto 70: ¡Amarilla para Collins! ¡Indignante! ¡El árbitro no se entera!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,62,kritisch,233,google/gemini-2.0-flash-lite-001,"Minuto 62: ¡Entra Knauff! Se va Bahoya... ¡Ay no! ¡Esperemos que Knauff encienda la mecha! ¡A luchar, Águilas, a luchar!",,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,goal,90,neutral,224,google/gemini-2.0-flash-lite-001,Minuto 90: ¡Increíble! ¡Aaronson! ¡GOOOOL! ¡Qué pase de Wahi! ¡0-5! ¡Esto es una locura!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,yellow_card,77,euphorisch,282,google/gemini-2.0-flash-lite-001,Minuto 77: ¡Amarilla para Arbursu! ¡Increíble! ¡El árbitro debe estar ciego!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,71,kritisch,572,google/gemini-2.0-flash-lite-001,Minuto 71: ¡Larsson fuera! ¡Nuestra leyenda abandona el campo! ¿Pero quién entra? ¡HOJLUND! ¡El danés al campo! ¡La grada enloquece!,,,,,ok
