datum,spiel,wettbewerb,event_typ,minute,spieler,team,stand,stil,text_gemini-2.5-flash,ms_gemini-2.5-flash,K_gemini-2.5-flash,T_gemini-2.5-flash,V_gemini-2.5-flash,text_gpt-4.1-mini,ms_gpt-4.1-mini,K_gpt-4.1-mini,T_gpt-4.1-mini,V_gpt-4.1-mini,text_claude-haiku-4-5,ms_claude-haiku-4-5,K_claude-haiku-4-5,T_claude-haiku-4-5,V_claude-haiku-4-5
2025-09-30,Atletico Madrid vs. Eintracht Frankfurt,Champions League,goal,45,A. Griezmann,Atletico Madrid,3:0,neutral,TOOOOR! Griezmann trifft zum 3:0 für Atletico Madrid. Alvarez liefert die Vorlage.,990,5,2,4,Griezmann trifft nach Vorlage von Alvarez. Atletico führt nun mit 3:0 gegen Frankfurt.,907,4,5,4,"Griezmann trifft zum 3:0. Alvarez hatte den Ball in die Tiefe gespielt, Griezmann lief durch und vollendete sicher. TOOOOR!",1576,5,3,5
2025-09-30,Atletico Madrid vs. Eintracht Frankfurt,Champions League,goal,45,A. Griezmann,Atletico Madrid,3:0,euphorisch,"3:0. Das gibt's doch nicht! Griezmann! Wieder so ein Ding! Alvarez legt vor, und der Franzose netzt ein. Unfassbar! Drei Dinger schon! Das darf doch nicht wahr sein!",1257,2,5,3,"TOOOOR! Griezmann macht’s klar! J. Alvarez legt auf, und der Franzose trifft eiskalt ins Netz! 3:0 für Atletico – das wird schwer für uns!",1260,2,5,4,"TOOOOR! Griezmann! Und das ist bitter — sehr bitter! Alvarez legt quer, der Franzose schiebt eiskalt ein. Madrid dreht jetzt richtig auf, und wir? Wir sind völlig überrannt! 3:0 — das ist ein Desaster! Die Adler sind nicht wiederzuerkennen heute. Das kann nicht sein!",1988,5,2,5
2025-09-30,Atletico Madrid vs. Eintracht Frankfurt,Champions League,goal,45,A. Griezmann,Atletico Madrid,3:0,kritisch,"TOOOOR! Griezmann erhöht auf 3:0. Alvarez bedient Griezmann, der aus kurzer Distanz einschiebt. Die Frankfurter Abwehr agiert desolat, lässt den Franzosen völlig frei. Eine katastrophale Fehlerkette.",791,5,5,5,"Griezmann trifft nach feiner Vorlage von Alvarez. Frankfurt verteidigt zu passiv, lässt den Raum am Strafraum offen. Die Abwehr wirkt orientierungslos. 3:0.",993,5,5,5,"TOOOOR!

Griezmann macht es. Alvarez hat ihm den Ball in den Lauf gespielt, die Frankfurter Abwehr war zu passiv, zu weit weg — und der Franzose schiebt eiskalt ein. Das war keine Glanzleistung, eher die logische Konsequenz einer völlig überforderten Eintracht-Defensive. Frankfurt hat heute schlicht keine Mittel gegen Atleticos Tempo und Präzision. Es steht 3:0.",2303,5,5,5
2026-05-08,Borussia Dortmund vs. Eintracht Frankfurt,Bundesliga,yellow_card,91,Samuele Inacio,Borussia Dortmund,3:2,neutral,Gelbe Karte für Inacio. Der Dortmunder wird nach einem Foul verwarnt.,656,5,5,3,Samuele Inacio sieht Gelb. Das Foul kommt nach einem Zweikampf im Mittelfeld.,2226,5,5,3,Gelbe Karte für Inacio. Der Dortmunder Abwehrspieler räumt im Mittelfeld ab und sieht Gelb.,2196,5,5,4
2026-05-08,Borussia Dortmund vs. Eintracht Frankfurt,Bundesliga,yellow_card,91,Samuele Inacio,Borussia Dortmund,3:2,euphorisch,"Gelb für Inacio! Unfassbar! Der BVB will hier nur noch Zeit schinden! Was soll das denn? Jetzt bloß nicht die Nerven verlieren, Jungs! Auf geht's, Eintracht! Wir geben nicht auf!",1072,5,1,5,"Inacio sieht Gelb! Wieder ein taktisches Foul, Dortmund will die Uhr runterspielen. Nicht schön, aber verständlich. Spannung bis zum Schluss!",1171,5,4,5,"Inacio sieht Gelb! Der Dortmunder wird zur Kasse gebeten — und Frankfurt atmet auf! Noch eine Minute, dann ist Schluss. Wir kämpfen, wir glauben — 3:2, das muss reichen!",1875,5,5,5
2026-05-08,Borussia Dortmund vs. Eintracht Frankfurt,Bundesliga,yellow_card,91,Samuele Inacio,Borussia Dortmund,3:2,kritisch,Gelb für Inacio. Zieht das taktische Foul an der Mittellinie. Das war überflüssig. Dortmund führt 3:2.,661,5,5,5,Samuele Inacio bremst den Konter mit einem taktisch fragwürdigen Foul. Gelbe Karte ist die logische Konsequenz. Dortmund riskiert damit unnötig die Kontrolle in der Schlussphase.,1247,5,5,5,"Gelbe Karte für Inacio. Das war ein unnötiges Foul — der Dortmunder Innenverteidiger tritt nach, als das Spiel längst vorbei ist. Berechtigt verwarnt. Frankfurt bleibt damit auch in der Schlussphase unter Druck, die Nerven liegen blank.",1669,2,4,4
2025-09-12,Bayer Leverkusen vs. Eintracht Frankfurt,Bundesliga,red_card,59,Robert Andrich,Bayer Leverkusen,2:1,neutral,Rote Karte für Andrich. Der Leverkusener sieht nach einem Foul die Rote Karte. Bayer Leverkusen agiert nun mit zehn Spielern. Der Spielstand beträgt 2:1.,802,5,5,4,Robert Andrich sieht Rot. Nach einem harten Einsteigen gegen einen Frankfurter Spieler muss er vorzeitig vom Platz. Bayer spielt nun in Unterzahl.,1092,5,5,4,Rot für Andrich! Der Leverkusener sieht nach einem Foul die rote Karte. Bayer muss nun zu zehnt weitermachen. Frankfurt führt 2:1.,1416,2,4,4
2025-09-12,Bayer Leverkusen vs. Eintracht Frankfurt,Bundesliga,red_card,59,Robert Andrich,Bayer Leverkusen,2:1,euphorisch,"ROTE KARTE! Unglaublich! Andrich fliegt vom Platz! Leverkusen nur noch zu zehnt! Das ist unsere Chance! JETZT! Auf geht's, Adler! Die Werkself wackelt, wir müssen zuschlagen! 2:1 steht's noch, aber das Blatt hat sich gewendet! Jetzt Vollgas!",981,5,5,5,"Robert Andrich sieht Rot! Wahnsinn, Bayer in Unterzahl! Jetzt brennt hier nichts mehr für Leverkusen! Frankfurt riecht Morgenluft!",1037,5,5,5,"ROTE KARTE FÜR ANDRICH! Der Leverkusener sieht Rot — völlig zurecht! Brutal die Aktion, keine Frage. Frankfurt kriegt einen Mann mehr — jetzt wird's interessant! Wir sind noch im Spiel, Adler! Das ist unsere Chance, das müssen wir nutzen!",1901,5,5,5
2025-09-12,Bayer Leverkusen vs. Eintracht Frankfurt,Bundesliga,red_card,59,Robert Andrich,Bayer Leverkusen,2:1,kritisch,Rote Karte für Andrich. Das war überhart. Er trifft Larsson mit offener Sohle am Knöchel. Keine Diskussion. Leverkusen jetzt in Unterzahl.,1050,5,5,4,"Robert Andrich sieht Rot nach einem rüden Einsteigen gegen den Frankfurter Offensivspieler. Klare Fehlentscheidung des Leverkuseners, der nicht nur die Aktion, sondern auch sein Team in Unterzahl bringt. Bayer Leverkusen steht ab jetzt unter massivem Druck.",2116,5,5,5,"Rot für Andrich. Der Leverkusener tritt nach — das Foul ist unnötig, die Strafe berechtigt. Leverkusen muss nun in Unterzahl agieren, Frankfurt wittert seine Chance. 2:1 für die Gastgeber, aber die numerische Überlegenheit könnte das Spiel drehen.",1770,5,5,5
2025-09-18,Eintracht Frankfurt vs. Galatasaray,Champions League,substitution,79,R. Koch,Eintracht Frankfurt,4:2,neutral,Eintracht Frankfurt wechselt. R. Koch verlässt den Platz. Für ihn kommt A. Amenda ins Spiel. Der Spielstand bleibt bei 4:2.,644,5,5,5,Eintracht wechselt. R. Koch verlässt den Platz. A. Amenda kommt neu ins Spiel.,1145,5,5,5,"Koch muss raus, Amenda kommt rein. Frankfurt wechselt in der Defensive.",1252,3,5,2
